id,AT,V,AP,RH,target
0.0,8.34,40.77,1010.84,90.01,480.48
1.0,23.64,58.49,1011.4,74.2,445.75
2.0,29.74,56.9,1007.15,41.91,438.76
3.0,19.07,49.69,1007.22,76.79,453.09
4.0,11.8,40.66,1017.13,97.2,464.43
5.0,13.97,39.16,1016.05,84.6,470.96
6.0,22.1,71.29,1008.2,75.38,442.35
7.0,14.47,41.76,1021.98,78.41,464.0
8.0,31.25,69.51,1010.25,36.83,428.77
9.0,6.77,38.18,1017.8,81.13,484.31
10.0,28.28,68.67,1006.36,69.9,435.29
11.0,22.99,46.93,1014.15,49.42,451.41
12.0,29.3,70.04,1010.95,61.23,426.25
13.0,8.14,37.49,1009.04,80.33,480.66
14.0,16.92,44.6,1017.34,58.75,460.17
15.0,22.72,64.15,1021.14,60.34,453.13
16.0,18.14,43.56,1012.83,47.1,461.71
17.0,11.49,44.63,1020.44,86.04,471.08
18.0,9.94,40.46,1018.9,68.51,473.74
19.0,23.54,41.1,1002.05,38.05,448.56
20.0,14.9,52.05,1015.11,77.33,464.82
21.0,33.8,64.96,1004.88,49.37,427.28
22.0,25.37,68.31,1011.12,70.99,441.76
23.0,7.29,41.04,1024.06,89.19,474.71
24.0,13.55,40.71,1019.13,75.44,467.21
25.0,6.39,35.57,1025.53,77.23,487.69
26.0,26.64,62.44,1011.81,72.46,438.67
27.0,7.84,41.39,1018.21,91.92,485.66
28.0,21.82,58.66,1011.71,64.37,452.16
29.0,27.17,67.45,1015.67,49.03,429.87
30.0,13.42,41.23,994.17,95.79,468.82
31.0,20.77,56.85,1012.4,83.63,442.85
32.0,8.29,36.08,1020.38,81.53,483.26
33.0,30.98,67.45,1015.18,45.4,433.59
34.0,31.96,71.29,1008.39,47.51,433.04
35.0,15.83,52.75,1024.3,58.34,458.6
36.0,22.56,70.79,1005.85,93.09,435.14
37.0,25.91,75.6,1018.23,62.65,443.2
38.0,8.24,39.61,1017.99,78.42,477.9
39.0,24.66,60.29,1018.0,59.56,445.26
40.0,29.31,68.67,1006.18,63.38,435.57
41.0,21.48,66.91,1008.58,84.49,447.42
42.0,18.28,44.71,1016.99,33.71,462.28
43.0,26.96,65.34,1015.05,46.93,441.81
44.0,16.01,65.46,1014.0,87.68,454.16
45.0,27.37,63.73,1009.79,65.25,437.24
46.0,16.3,39.63,1004.64,85.61,464.11
47.0,23.8,48.6,1002.43,67.32,440.89
48.0,8.19,41.66,1016.57,75.38,485.2
49.0,25.28,67.69,1009.05,68.54,445.34
50.0,21.47,70.32,1011.72,88.36,440.0
51.0,30.54,67.45,1014.37,32.97,431.35
52.0,18.3,44.06,1017.95,63.24,456.32
53.0,25.82,72.39,1003.4,86.33,432.98
54.0,31.12,69.13,1009.61,56.54,429.41
55.0,15.99,39.63,1006.09,89.92,464.95
56.0,8.42,42.28,1008.4,87.78,481.91
57.0,23.7,69.23,1011.73,73.18,437.15
58.0,15.71,40.12,1012.81,97.46,462.6
59.0,29.11,74.9,1003.31,74.01,432.43
60.0,23.73,61.02,1009.71,78.7,442.22
61.0,28.26,65.34,1014.56,43.4,441.03
62.0,15.92,41.2,1016.04,73.37,468.91
63.0,33.4,70.8,1009.17,57.01,432.46
64.0,31.92,68.3,1015.58,41.55,430.07
65.0,26.87,74.99,1002.48,71.91,437.78
66.0,5.23,40.78,1025.13,92.74,483.12
67.0,15.72,41.76,1023.07,66.95,462.19
68.0,17.74,50.88,1015.56,89.78,457.71
69.0,27.13,59.54,1004.33,73.27,438.32
70.0,25.82,66.49,1013.2,60.32,434.35
71.0,34.2,68.14,1002.7,56.09,427.05
72.0,19.13,68.61,1010.65,94.92,448.69
73.0,11.77,41.06,1021.45,76.63,475.88
74.0,10.25,41.46,1018.67,84.41,479.28
75.0,23.82,48.92,1010.48,44.45,446.85
76.0,30.1,66.25,1009.38,65.41,434.99
77.0,29.92,69.75,1009.12,67.15,441.5
78.0,29.63,66.75,1018.08,58.46,433.26
79.0,30.61,77.17,1009.49,73.19,430.46
80.0,16.18,50.88,1014.06,100.09,455.14
81.0,31.66,73.91,1004.49,68.13,431.26
82.0,29.14,61.5,1009.64,39.95,437.76
83.0,18.4,43.96,1012.4,77.81,464.63
84.0,15.86,38.62,1016.65,67.51,462.58
85.0,6.31,42.07,1004.61,77.74,483.27
86.0,23.4,72.99,1009.48,88.82,438.51
87.0,33.62,77.17,1009.38,63.71,431.03
88.0,6.89,43.65,1019.87,72.77,484.0
89.0,27.41,69.98,1008.51,65.49,431.64
90.0,26.37,54.5,1014.48,66.31,451.78
91.0,26.58,59.39,1014.49,65.87,439.46
92.0,15.25,43.02,1012.04,41.43,467.23
93.0,21.24,41.67,1012.6,49.27,459.81
94.0,24.98,58.05,1011.69,69.97,447.15
95.0,26.63,64.44,1012.66,61.19,442.0
96.0,18.87,52.08,1005.25,99.19,449.61
97.0,5.12,40.78,1025.45,96.88,481.28
98.0,31.1,71.32,1008.09,45.87,437.54
99.0,7.91,39.96,1023.57,88.44,475.52
100.0,14.97,58.2,1019.52,81.13,458.68
101.0,28.92,61.02,1011.19,56.13,436.76
102.0,22.92,61.9,1013.27,78.32,446.08
103.0,12.55,38.91,1012.58,75.44,474.35
104.0,9.38,41.44,1015.09,86.8,481.96
105.0,10.28,41.46,1018.44,85.23,479.66
106.0,30.31,77.24,1008.02,67.84,435.28
107.0,25.34,71.06,1007.74,92.52,434.86
108.0,30.47,70.02,1009.65,62.03,435.72
109.0,20.18,56.53,1020.3,77.1,454.14
110.0,21.31,46.97,1014.08,62.57,455.76
111.0,22.1,74.87,1009.4,85.78,442.83
112.0,20.09,63.94,1020.82,74.16,449.47
113.0,22.36,58.79,1016.69,73.6,445.76
114.0,9.43,37.14,1013.03,74.99,473.57
115.0,28.86,49.3,1003.93,52.85,435.75
116.0,23.25,70.32,1009.28,86.52,437.96
117.0,22.7,60.84,1019.15,71.48,438.59
118.0,21.3,59.39,1013.83,84.53,444.21
119.0,19.94,44.9,1008.52,74.69,459.47
120.0,14.97,43.67,1011.13,87.33,465.54
121.0,13.83,40.78,1024.85,73.08,458.85
122.0,23.39,71.25,1005.22,93.7,435.68
123.0,21.48,47.43,1006.88,63.54,449.2
124.0,22.63,58.41,1013.69,90.32,445.43
125.0,20.01,45.09,1014.21,38.19,453.96
126.0,20.52,43.79,1015.9,68.1,463.93
