id,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,label
0,2,11,2,13,2,10,2,12,2,1,9
1,3,12,3,11,3,13,3,10,3,1,9
2,4,10,4,11,4,1,4,13,4,12,9
3,4,1,4,13,4,12,4,11,4,10,9
4,1,2,1,4,1,5,1,3,1,6,8
5,1,9,1,12,1,10,1,11,1,13,8
6,2,1,2,2,2,3,2,4,2,5,8
7,3,5,3,6,3,9,3,7,3,8,8
8,4,1,4,4,4,2,4,3,4,5,8
9,1,1,2,1,3,9,1,5,2,3,1
10,2,6,2,1,4,13,2,4,4,9,0
11,1,10,4,6,1,2,1,1,3,8,0
12,2,13,2,1,4,4,1,5,2,11,0
13,3,8,4,12,3,9,4,2,3,2,1
14,1,3,4,7,1,5,2,4,4,13,0
15,1,4,1,1,1,3,3,5,3,2,4
16,3,8,3,12,2,7,2,6,1,2,0
17,4,8,1,11,4,6,3,2,4,12,0
18,3,7,2,7,4,11,1,12,3,1,1
19,1,13,4,8,2,7,2,10,3,13,1
20,2,6,2,8,1,11,1,4,3,7,0
21,3,10,2,10,4,5,1,2,3,8,1
22,2,1,3,13,4,6,1,9,4,1,1
23,2,10,2,8,1,8,3,2,2,13,1
24,2,13,1,5,4,5,4,8,3,3,1
25,3,1,1,5,2,7,3,13,1,1,1
26,1,7,1,5,4,8,1,6,2,6,1
27,3,7,3,9,2,12,2,5,4,4,0
28,2,10,1,1,1,12,4,6,2,8,0
29,3,13,2,7,4,11,3,11,2,11,3
30,4,2,2,7,3,13,2,11,3,10,0
31,1,11,2,7,1,6,4,2,1,1,0
32,3,4,4,3,3,5,2,12,1,9,0
33,3,2,1,6,2,11,4,3,2,10,0
34,4,8,4,3,4,13,4,12,1,1,0
35,2,6,4,8,4,3,2,2,1,2,1
36,4,13,1,6,3,8,1,3,2,3,1
37,2,9,2,10,4,11,4,7,4,3,0
38,2,10,3,12,1,2,2,2,2,13,1
39,2,5,2,12,2,3,1,2,3,3,1
40,2,8,3,2,2,5,1,12,4,8,1
41,2,1,4,7,4,6,4,5,1,5,1
42,3,13,2,1,3,7,1,3,2,6,0
43,4,10,4,13,3,5,2,8,1,10,1
44,1,2,1,11,3,9,1,7,3,5,0
45,2,2,3,1,2,11,2,6,4,4,0
46,1,10,4,1,4,4,4,12,1,9,0
47,4,9,3,13,2,1,3,9,4,12,1
48,4,1,3,1,1,3,4,4,2,11,1
49,1,5,4,4,2,13,3,7,4,10,0
50,1,10,3,7,1,3,3,6,3,8,0
51,4,2,3,4,4,7,3,9,2,1,0
52,4,8,1,9,2,4,1,11,2,3,0
53,2,7,4,13,2,3,3,4,2,1,0
54,4,12,2,3,4,7,2,5,4,1,0
55,2,5,3,13,3,12,3,7,1,13,1
56,4,8,3,2,2,8,2,9,3,11,1
57,1,8,1,12,2,9,2,6,3,2,0
58,1,5,3,13,2,13,2,7,4,5,2
59,4,7,4,10,3,1,3,3,2,5,0
60,3,13,2,2,4,10,3,3,2,13,1
61,1,5,3,7,1,3,1,6,2,8,0
62,1,2,4,3,2,8,4,11,4,13,0
63,2,1,1,4,4,1,4,11,3,7,1
64,1,4,4,1,4,12,2,3,4,13,0
65,1,9,4,1,4,7,4,4,3,2,0
66,4,3,3,1,1,6,1,5,2,10,0
67,2,9,4,2,3,3,2,6,3,9,1
68,3,1,1,5,4,8,3,10,3,5,1
69,4,7,4,5,2,9,3,8,1,5,1
70,4,13,1,11,4,4,3,5,4,1,0
71,4,13,3,8,1,1,4,6,1,13,1
72,4,8,4,4,4,2,4,1,4,7,5
73,2,3,4,10,3,5,3,13,4,3,1
74,1,4,2,13,3,1,4,4,4,1,2
75,3,2,4,10,2,6,1,12,3,10,1
76,2,11,3,9,1,11,4,8,3,8,2
77,2,4,1,4,2,5,1,8,1,13,1
78,2,13,1,9,1,2,1,4,4,4,1
79,4,2,3,10,1,12,3,7,4,8,0
80,2,6,1,13,4,5,2,2,4,9,0
81,1,12,4,5,4,13,3,11,3,10,0
82,2,7,2,3,3,13,3,11,1,4,0
83,2,10,2,11,2,5,3,6,2,4,0
84,2,12,4,6,3,9,4,1,4,12,1
85,1,8,1,10,2,13,3,5,1,4,0
86,2,7,1,4,2,13,3,2,4,12,0
87,2,7,4,12,4,1,4,13,3,11,0
88,1,9,3,3,4,4,1,10,2,1,0
89,2,1,3,12,3,8,1,2,3,1,1
90,1,9,3,10,1,8,4,4,1,5,0
91,2,1,2,8,2,6,3,1,3,4,1
92,4,11,3,12,3,4,4,12,4,7,1
93,3,2,4,12,3,8,2,7,3,11,0
94,3,12,2,12,2,8,3,11,1,6,1
95,3,7,1,8,1,7,4,12,2,8,2
96,1,9,4,6,4,9,2,9,1,1,3
97,3,10,1,7,4,7,4,6,1,11,1
98,2,10,1,4,3,12,4,9,2,9,1
99,2,11,2,3,3,1,2,9,3,2,0
100,1,13,1,3,1,12,4,11,2,12,1
101,2,7,1,6,3,6,4,13,4,9,1
102,2,1,3,2,2,10,4,1,4,12,1
103,2,2,2,8,4,9,3,12,4,5,0
104,4,9,2,11,4,7,3,12,1,4,0
105,1,6,3,9,2,8,2,2,4,9,1
106,1,7,4,4,4,12,3,7,2,2,1
107,4,10,2,1,4,11,3,11,2,11,3
108,3,12,1,1,3,13,4,11,2,7,0
109,4,5,3,11,2,7,4,8,3,8,1
110,3,4,2,11,4,8,1,12,4,6,0
111,4,1,3,10,3,3,3,13,3,11,0
112,2,2,3,4,4,13,1,5,2,13,1
113,1,2,2,9,1,12,3,10,1,11,0
114,1,3,2,1,3,13,3,4,1,9,0
115,3,6,2,13,4,13,3,10,2,12,1
116,3,9,4,12,4,10,1,3,1,6,0
117,4,7,3,2,4,5,3,9,2,5,1
118,4,2,2,7,3,13,2,12,1,7,1
119,2,3,1,5,3,7,4,1,3,8,0
120,2,9,1,4,2,5,2,10,4,1,0
121,3,1,4,10,2,10,1,5,2,11,1
122,2,13,4,6,1,11,3,3,4,7,0
123,4,11,3,13,1,1,1,13,2,2,1
124,2,12,2,4,3,2,2,7,4,12,1
125,1,2,4,2,4,10,2,11,3,1,1
126,1,4,1,3,1,12,4,8,4,13,0
127,4,11,4,12,3,4,1,9,2,13,0
128,2,10,3,9,4,13,1,12,2,7,0
129,4,11,4,8,3,2,4,10,3,3,0
130,2,10,4,3,4,11,1,4,2,7,0
131,3,10,1,9,4,3,2,4,1,4,1
132,3,12,3,10,4,6,2,6,2,13,1
133,1,11,3,5,2,13,4,12,2,2,0
134,3,6,4,2,3,10,2,7,1,8,0
135,4,12,3,1,2,13,2,6,2,1,1
136,3,12,4,2,4,3,3,13,2,8,0
137,4,12,2,9,2,5,2,12,3,10,1
138,2,5,2,2,2,8,4,6,1,9,0
139,3,2,4,7,4,4,4,5,1,3,0
140,4,1,4,7,3,6,2,3,4,10,0
141,3,10,1,7,4,7,2,6,2,4,1
142,1,11,3,3,4,12,1,4,1,6,0
143,1,2,3,4,1,12,2,8,3,1,0
144,4,5,4,7,3,1,3,9,2,3,0
145,2,13,4,5,2,11,3,9,4,10,0
146,3,7,2,3,3,12,2,10,2,2,0
147,1,13,1,8,4,6,1,11,2,7,0
148,4,12,2,2,4,11,4,3,3,1,0
149,1,13,2,5,4,12,2,12,4,1,1
150,3,7,1,9,2,2,4,6,4,1,0
151,4,8,4,10,4,5,1,11,1,9,0
152,1,8,4,7,4,13,2,6,3,6,1
153,4,5,2,4,3,9,1,10,2,13,0
154,4,3,2,2,4,10,1,4,4,11,0
155,3,8,1,8,2,5,3,3,3,1,1
156,3,7,2,5,1,11,3,4,3,5,1
157,2,4,1,4,1,7,4,8,1,5,1
158,2,10,3,10,2,13,2,6,1,6,2
159,4,9,3,11,3,8,1,4,3,13,0
160,4,7,2,12,3,3,1,8,1,7,1
161,1,5,1,1,3,3,2,12,3,11,0
162,1,4,1,6,4,13,2,13,4,3,1
163,4,3,2,13,2,4,3,7,1,2,0
164,2,7,4,10,1,10,1,2,4,5,1
165,2,9,2,4,1,10,3,7,2,7,1
166,3,3,3,8,4,8,1,1,1,11,1
167,4,7,4,11,3,5,3,12,1,3,0
168,1,1,4,8,2,4,3,10,4,5,0
169,2,12,4,2,1,5,3,10,1,10,1
170,4,2,4,8,4,7,1,3,4,6,0
171,2,4,1,8,1,12,1,9,4,10,0
172,2,3,1,6,2,12,3,6,4,5,1
173,3,1,3,9,4,13,1,5,3,7,0
174,2,6,4,4,1,13,4,6,4,5,1
175,4,3,4,10,2,8,1,7,3,10,1
176,3,10,2,9,1,1,2,11,2,8,0
177,4,6,3,3,3,7,2,4,2,2,0
178,2,1,2,7,1,12,4,8,1,5,0
179,4,5,1,11,3,10,1,1,3,1,1
180,4,1,4,11,3,10,2,9,3,2,0
181,3,11,2,7,2,12,2,5,1,7,1
182,3,1,4,6,4,13,4,11,4,12,0
183,1,1,2,3,3,2,4,10,1,9,0
184,1,13,3,1,2,10,2,6,1,12,0
185,2,10,3,1,3,9,2,9,3,5,1
186,2,13,1,1,2,12,1,7,2,7,1
187,3,5,1,8,4,11,4,6,2,3,0
188,3,10,2,3,2,1,4,7,4,10,1
189,4,11,2,13,2,8,2,1,4,12,0
190,2,5,1,2,3,4,4,8,3,9,0
191,1,12,3,3,2,2,2,4,2,8,0
192,4,6,2,10,2,12,3,5,1,11,0
193,3,1,2,11,4,11,1,13,2,2,1
194,2,4,2,7,4,4,2,6,2,8,1
195,1,3,4,3,4,4,3,1,4,13,1
196,3,3,1,1,4,3,2,13,4,8,1
197,4,7,1,3,4,4,4,1,3,11,0
198,4,2,2,3,3,8,4,7,2,13,0
199,4,5,2,5,2,1,4,8,1,13,1
200,4,9,3,13,4,10,2,2,1,7,0
201,2,12,2,9,4,1,4,2,1,11,0
202,1,10,3,9,3,10,1,8,4,13,1
203,4,2,4,4,1,5,4,10,3,3,0
204,1,3,4,10,4,8,4,4,4,13,0
205,3,12,2,2,4,11,3,8,2,1,0
206,1,6,2,1,1,8,3,9,1,5,0
207,2,1,2,9,3,9,3,13,2,8,1
208,4,10,1,11,3,12,4,5,3,6,0
209,3,10,1,12,1,7,3,13,2,12,1
210,3,10,2,7,4,2,3,12,2,2,1
211,2,7,4,9,1,5,3,9,3,6,1
212,2,4,2,2,2,5,4,1,4,4,1
213,3,1,2,3,4,12,3,13,3,8,0
214,1,12,2,8,2,2,1,1,3,8,1
215,2,12,4,5,3,10,2,13,4,8,0
216,1,1,1,13,4,11,3,13,4,4,1
217,4,2,1,13,2,6,2,7,2,11,0
218,3,8,1,3,4,10,3,12,2,1,0
219,3,2,3,11,1,12,1,13,3,9,0
220,3,13,1,2,3,2,1,9,3,11,1
221,1,12,2,10,1,4,1,3,1,6,0
222,2,11,2,6,4,8,4,7,2,12,0
223,3,6,2,11,3,2,3,10,1,11,1
224,1,8,2,9,2,10,4,13,3,1,0
225,4,8,2,11,2,12,3,3,4,11,1
226,3,13,1,3,2,7,1,8,4,8,1
227,1,11,1,1,3,10,4,9,3,6,0
228,2,13,2,11,2,6,4,9,3,4,0
229,1,11,1,8,3,3,2,7,1,12,0
230,1,7,3,1,1,5,1,1,2,3,1
231,3,12,2,7,4,4,1,2,2,10,0
232,4,10,1,4,4,2,2,11,1,1,0
233,1,4,1,12,1,2,4,9,2,12,1
234,4,10,3,9,3,12,2,2,1,11,0
235,4,11,1,1,2,1,1,3,3,5,1
236,3,7,4,3,4,8,3,10,4,2,0
237,3,1,3,10,1,4,2,10,2,3,1
238,3,13,2,4,2,9,2,3,3,3,1
239,3,11,2,10,3,12,1,3,1,10,1
240,1,2,4,12,3,6,2,5,4,4,0
241,4,2,3,4,4,9,2,1,2,6,0
242,2,7,2,3,3,13,1,5,4,5,1
243,2,9,4,8,2,8,2,3,2,7,1
244,4,6,4,12,1,2,1,8,2,7,0
245,3,8,1,13,1,7,4,7,3,13,2
246,3,9,1,13,4,8,4,9,1,6,1
247,1,11,1,10,4,10,3,13,1,13,2
248,1,11,1,10,3,3,4,6,3,4,0
249,3,9,3,1,1,10,4,5,3,4,0
250,4,12,3,1,2,1,1,11,4,11,2
251,4,2,1,8,2,6,2,10,3,8,1
252,4,7,3,7,4,9,4,3,4,10,1
253,1,12,4,4,2,9,3,6,3,1,0
254,3,7,2,7,3,4,3,6,1,3,1
255,4,6,2,9,4,7,1,8,3,8,1
256,4,12,1,3,3,3,4,7,3,10,1
257,1,11,2,6,2,3,4,12,4,11,1
258,3,8,3,6,2,11,3,5,2,4,0
259,3,4,2,11,1,9,2,1,3,8,0
260,2,5,1,4,4,2,4,10,1,6,0
261,4,3,3,5,2,12,1,2,4,4,0
262,3,6,2,13,3,9,1,13,1,10,1
263,2,11,3,6,4,7,3,2,3,11,1
264,1,1,2,5,3,10,1,4,1,6,0
265,3,10,1,8,1,6,4,1,2,2,0
266,1,6,1,4,1,1,4,11,2,13,0
267,2,9,2,4,1,13,1,3,3,2,0
268,3,1,2,9,2,8,2,6,1,1,1
269,4,6,1,9,3,8,4,1,4,11,0
270,3,7,1,4,2,2,3,2,2,12,1
271,2,7,2,13,3,10,1,9,1,10,1
272,4,9,2,2,1,11,2,12,3,11,1
273,2,3,3,4,2,8,4,4,3,12,1
274,2,8,1,6,2,6,2,7,3,13,1
275,1,1,1,12,4,3,4,6,3,1,1
276,2,12,4,11,2,3,3,1,3,13,0
277,4,10,1,5,3,7,4,9,1,9,1
278,4,9,2,13,1,3,2,6,3,5,0
279,1,5,4,3,4,12,3,5,2,13,1
280,4,9,1,12,4,1,1,4,3,1,1
281,1,8,2,8,1,7,1,12,2,4,1
282,4,5,3,2,2,7,1,9,4,12,0
283,1,8,2,2,2,3,4,2,2,7,1
284,1,3,2,13,3,4,4,5,1,5,1
285,4,4,2,3,3,12,1,10,3,10,1
286,4,4,2,8,4,12,1,4,3,2,1
287,3,13,2,2,4,13,4,6,3,2,2
288,4,10,4,3,4,6,4,1,2,13,0
289,3,10,3,7,1,8,3,5,2,11,0
290,4,8,3,5,4,6,4,2,4,7,0
291,4,12,4,7,2,4,3,13,3,11,0
292,1,9,4,8,1,3,3,13,1,12,0
293,4,6,1,7,4,9,2,10,4,11,0
294,2,7,1,4,1,12,1,13,4,4,1
295,4,10,2,9,2,4,4,13,3,9,1
296,2,10,4,1,1,2,4,12,4,4,0
297,1,2,2,10,4,1,2,2,4,5,1
298,2,8,4,11,2,5,4,5,4,2,1
299,1,13,3,12,2,12,1,9,4,12,3
300,1,6,4,5,3,8,2,13,4,2,0
301,3,2,3,11,1,1,4,7,4,2,1
302,2,7,1,1,2,6,3,10,4,8,0
303,3,7,4,2,4,8,1,13,1,1,0
304,4,7,2,13,4,2,3,12,4,5,0
305,3,4,1,13,3,8,3,5,1,3,0
306,2,12,4,4,4,6,1,12,1,9,1
307,4,1,1,13,1,7,3,13,3,11,1
308,1,10,2,10,4,2,2,6,4,4,1
309,4,12,2,4,1,11,4,13,4,6,0
310,1,11,3,9,2,3,4,6,4,1,0
311,1,5,1,7,4,7,1,13,3,11,1
312,3,10,1,2,4,12,4,6,3,5,0
313,3,2,1,4,3,12,1,10,3,8,0
314,2,3,1,13,1,4,2,13,4,8,1
315,1,1,1,13,4,1,2,6,4,10,1
316,1,6,1,13,3,11,3,6,1,2,1
317,3,8,1,12,2,9,1,2,2,5,0
318,1,11,1,13,4,9,1,7,3,13,1
319,1,6,4,2,4,9,1,7,2,5,0
320,1,1,4,10,4,6,2,3,3,4,0
321,4,7,4,12,2,3,4,5,2,6,0
322,1,6,3,1,1,11,1,2,4,5,0
323,4,3,2,12,4,12,1,13,3,10,1
324,4,10,2,4,2,5,1,3,4,13,0
325,2,7,1,3,1,1,1,7,2,3,2
326,3,12,3,2,1,5,2,1,1,8,0
327,1,8,1,12,2,10,1,2,3,7,0
328,4,12,2,11,4,11,1,9,3,11,3
329,1,4,2,6,1,13,4,10,1,7,0
330,1,7,2,13,2,12,1,1,2,9,0
331,1,3,3,5,1,1,2,4,3,8,0
332,4,1,2,5,4,12,2,6,3,9,0
333,1,5,4,9,3,3,4,7,3,8,0
334,3,9,1,12,3,7,4,12,2,9,2
335,4,2,3,4,1,1,3,10,4,8,0
336,3,7,3,12,1,12,4,3,4,4,1
337,2,3,4,7,1,7,1,13,3,7,3
338,1,3,2,13,2,5,3,10,3,7,0
339,4,4,4,9,1,7,1,9,4,5,1
340,4,9,4,7,1,9,3,7,4,5,2
341,1,4,1,7,3,7,1,3,1,13,1
342,4,9,4,4,3,7,3,8,1,6,0
343,1,11,2,9,4,10,4,5,1,9,1
344,2,11,1,2,1,3,3,11,4,4,1
345,2,12,1,2,4,12,4,8,2,11,1
346,1,2,4,6,4,13,1,13,2,13,3
347,2,1,3,6,2,2,4,4,3,1,1
348,4,4,4,6,3,12,1,8,1,3,0
349,1,9,2,13,4,5,1,11,2,9,1
350,1,5,1,11,3,6,2,8,1,7,0
351,4,5,3,4,4,7,2,2,4,9,0
352,3,7,2,9,4,4,4,11,1,13,0
353,3,4,1,10,3,6,3,9,2,3,0
354,2,13,4,8,4,13,4,6,3,2,1
355,4,10,3,12,3,7,1,12,2,5,1
356,2,13,4,12,4,13,1,7,4,8,1
357,1,3,2,6,1,6,2,13,3,11,1
358,1,7,4,1,4,11,3,3,4,12,0
359,1,5,2,1,3,5,3,2,1,6,1
360,3,13,1,13,2,1,3,8,1,4,1
361,1,4,2,9,2,5,3,5,4,7,1
362,2,7,4,7,1,4,3,11,3,9,1
363,1,2,3,9,4,2,4,9,1,8,2
364,3,9,3,2,4,6,3,10,3,7,0
365,4,3,1,4,3,8,4,7,3,9,0
366,2,9,2,5,3,4,2,10,2,7,0
367,1,12,4,12,4,8,4,11,2,12,3
368,2,1,4,6,1,4,1,9,1,1,1
369,2,10,4,6,4,11,4,5,2,12,0
370,1,8,1,11,4,2,4,7,3,1,0
371,4,5,2,11,2,2,4,9,3,7,0
372,2,12,1,7,2,9,4,8,3,7,1
373,2,9,2,2,3,7,4,13,3,11,0
374,3,6,3,8,2,12,4,8,3,11,1
375,2,9,4,8,4,2,4,9,4,11,1
376,3,4,2,10,3,3,4,13,4,4,1
377,4,5,4,2,2,10,4,11,2,11,1
378,2,7,3,3,4,3,4,10,3,12,1
379,2,4,2,7,1,7,3,4,2,5,2
380,4,7,3,2,2,3,4,13,4,2,1
381,3,4,3,13,2,8,3,9,1,9,1
382,4,8,1,9,3,8,1,8,4,3,3
383,4,3,2,1,2,10,1,2,4,4,0
384,3,7,1,4,3,3,2,8,1,1,0
385,4,7,1,13,2,3,1,9,4,1,0
386,4,9,2,7,3,13,2,1,3,12,0
387,4,4,3,7,4,1,4,3,2,9,0
388,3,8,4,2,2,13,3,13,4,11,1
389,2,12,3,11,2,9,4,8,2,7,0
390,1,11,1,7,4,9,1,5,3,10,0
391,4,1,3,9,3,2,2,11,2,9,1
392,2,4,3,12,2,1,2,7,1,7,1
393,3,3,1,13,2,9,2,8,3,8,1
394,4,1,2,6,3,8,3,2,1,6,1
395,4,5,1,8,2,12,1,12,1,13,1
396,4,11,2,2,4,10,3,12,1,7,0
397,4,4,1,7,3,13,3,12,2,2,0
398,3,8,2,12,4,11,4,1,3,9,0
399,2,7,4,12,4,2,3,13,1,5,0
400,2,5,3,5,3,2,2,13,4,4,1
401,1,11,3,12,3,10,4,9,2,13,4
402,2,13,1,3,1,7,2,9,3,7,1
403,1,1,3,2,4,6,2,11,4,12,0
404,3,5,1,12,3,3,1,7,1,9,0
